dataset,model,pred_method,size,mean,std
trec,llama-7b,calibrate_True,1,0.19133333333333336,0.04215315989209929
trec,llama-7b,calibrate_True,2,0.4326666666666667,0.10570819373266302
trec,llama-7b,calibrate_True,3,0.46,0.09737898472805445
trec,llama-7b,calibrate_True,4,0.5153333333333333,0.049026070162267274
trec,llama-7b,calibrate_True,5,0.5333333333333333,0.044582009326134625
trec,llama-7b,direct_False,1,0.2333333333333333,0.05470730197047638
trec,llama-7b,direct_False,2,0.292,0.05678027826631356
trec,llama-7b,direct_False,3,0.39599999999999996,0.0890991956566762
trec,llama-7b,direct_False,4,0.45133333333333336,0.003399346342395193
trec,llama-7b,direct_False,5,0.3946666666666667,0.03760614606978789
trec,llama-7b,channel_True,1,0.3426666666666667,0.07508809640830044
trec,llama-7b,channel_True,2,0.44399999999999995,0.07021870595978445
trec,llama-7b,channel_True,3,0.45133333333333336,0.05833999961909115
trec,llama-7b,channel_True,4,0.4506666666666666,0.07501703510240564
trec,llama-7b,channel_True,5,0.48533333333333334,0.09597684906036227
trec,llama-2-7b-hf,direct_False,1,0.267,0.0010000000000000009
trec,llama-2-7b-hf,direct_False,2,0.278,0.0
trec,llama-2-7b-hf,direct_False,3,0.286,0.0
trec,llama-2-7b-hf,direct_False,4,0.27,0.0
trec,llama-2-7b-hf,direct_False,5,0.3,0.0
trec,llama-2-7b-hf,channel_True,1,0.404,0.0
trec,llama-2-7b-hf,channel_True,2,0.428,0.0
trec,llama-2-7b-hf,channel_True,3,0.426,0.0
trec,llama-2-7b-hf,channel_True,4,0.428,0.0
trec,llama-2-7b-hf,channel_True,5,,
trec,llama-2-7b-hf,calibrate_True,1,0.398,0.017999999999999988
trec,llama-2-7b-hf,calibrate_True,2,0.38,0.0
trec,llama-2-7b-hf,calibrate_True,3,0.384,0.0
trec,llama-2-7b-hf,calibrate_True,4,0.384,0.0
trec,llama-2-7b-hf,calibrate_True,5,0.384,0.0
trec,llama-30b,direct_False,1,0.30666666666666664,0.020741798914805414
trec,llama-30b,direct_False,2,0.4093333333333334,0.018856180831641256
trec,llama-30b,direct_False,3,0.39200000000000007,0.005656854249492385
trec,llama-30b,direct_False,4,0.43,0.05939696961966999
trec,llama-30b,direct_False,5,0.37600000000000006,0.04242640687119286
trec,llama-30b,channel_True,1,0.37133333333333335,0.07270641114937679
trec,llama-30b,channel_True,2,0.4426666666666667,0.08212727250365065
trec,llama-30b,channel_True,3,0.44133333333333336,0.03630733014450694
trec,llama-30b,channel_True,4,0.49666666666666665,0.0041096093353126546
trec,llama-30b,channel_True,5,0.5453333333333333,0.022528993664954387
trec,llama-30b,calibrate_True,1,0.2753333333333334,0.06367277457612651
trec,llama-30b,calibrate_True,2,0.4106666666666667,0.1447234911439359
trec,llama-30b,calibrate_True,3,0.4446666666666667,0.07628601153262343
trec,llama-30b,calibrate_True,4,0.506,0.03153833646003966
trec,llama-30b,calibrate_True,5,0.5306666666666667,0.021312489817527727
trec,llama-13b,channel_True,1,0.36733333333333335,0.061282587702834124
trec,llama-13b,channel_True,2,0.38133333333333336,0.007542472332656513
trec,llama-13b,channel_True,3,0.422,0.025455844122715707
trec,llama-13b,channel_True,4,0.47333333333333333,0.03771236166328254
trec,llama-13b,channel_True,5,0.4593333333333333,0.029227080289043965
trec,llama-13b,calibrate_True,1,0.49733333333333335,0.07024401912064983
trec,llama-13b,calibrate_True,2,0.5233333333333333,0.050631566789460056
trec,llama-13b,calibrate_True,3,0.5026666666666667,0.04991548412622634
trec,llama-13b,calibrate_True,4,0.5366666666666667,0.016759740119968728
trec,llama-13b,calibrate_True,5,0.5486666666666666,0.030346151137976087
trec,llama-13b,direct_False,1,0.246,0.05564171097297422
trec,llama-13b,direct_False,2,0.34933333333333333,0.10820145819514429
trec,llama-13b,direct_False,3,0.45133333333333336,0.05845416057808794
trec,llama-13b,direct_False,4,0.5246666666666667,0.024944382578492966
trec,llama-13b,direct_False,5,0.4346666666666667,0.0928415615743055
trec,llama-2-70b-hf,direct_False,1,0.37666666666666665,0.1322758061358497
trec,llama-2-70b-hf,direct_False,2,0.3273333333333333,0.0881866706985182
trec,llama-2-70b-hf,direct_False,3,0.504,0.06687301398920195
trec,llama-2-70b-hf,direct_False,4,0.51,0.05374011537017764
trec,llama-2-70b-hf,direct_False,5,0.418,0.09021455906153213
trec,llama-2-70b-hf,channel_True,1,0.3906666666666667,0.08017203724214296
trec,llama-2-70b-hf,channel_True,2,0.416,0.046733285782191686
trec,llama-2-70b-hf,channel_True,3,0.4166666666666667,0.019482185594936603
trec,llama-2-70b-hf,channel_True,4,0.4426666666666666,0.020805982045769642
trec,llama-2-70b-hf,channel_True,5,0.4553333333333333,0.028110891523077355
trec,llama-2-70b-hf,calibrate_True,1,0.4066666666666667,0.05342492135906446
trec,llama-2-70b-hf,calibrate_True,2,0.442,0.06659329295557224
trec,llama-2-70b-hf,calibrate_True,3,0.44399999999999995,0.06086049621881176
trec,llama-2-70b-hf,calibrate_True,4,0.48666666666666664,0.08493657764604258
trec,llama-2-70b-hf,calibrate_True,5,0.49466666666666664,0.07521229213957574
trec,falcon-1b,direct_False,1,0.22666666666666668,0.02054804667656325
trec,falcon-1b,direct_False,2,0.2793333333333334,0.021746008573733447
trec,falcon-1b,direct_False,3,0.2833333333333334,0.03465384378231207
trec,falcon-1b,direct_False,4,0.314,0.027178422814186008
trec,falcon-1b,direct_False,5,0.332,0.06556421788343597
trec,falcon-1b,channel_True,1,0.36866666666666664,0.03549021774454976
trec,falcon-1b,channel_True,2,0.4466666666666666,0.03879289740260306
trec,falcon-1b,channel_True,3,0.4346666666666666,0.05164838386199084
trec,falcon-1b,channel_True,4,0.432,0.07829857384822961
trec,falcon-1b,channel_True,5,0.42933333333333334,0.06392356546862997
trec,falcon-1b,calibrate_True,1,0.31066666666666665,0.057185856837352916
trec,falcon-1b,calibrate_True,2,0.2773333333333333,0.06042810236599818
trec,falcon-1b,calibrate_True,3,0.33266666666666667,0.0877167157514588
trec,falcon-1b,calibrate_True,4,0.46399999999999997,0.03691431519975235
trec,falcon-1b,calibrate_True,5,0.44999999999999996,0.0181842422626478
trec,falcon-7b,channel_True,1,0.34600000000000003,0.056166419386201455
trec,falcon-7b,channel_True,2,0.4073333333333333,0.06031767752676012
trec,falcon-7b,channel_True,3,0.41733333333333333,0.04007770230717102
trec,falcon-7b,channel_True,4,0.47733333333333333,0.08417970196087783
trec,falcon-7b,channel_True,5,0.49333333333333335,0.11778322838540678
trec,falcon-7b,calibrate_True,1,0.4013333333333333,0.06986335870031506
trec,falcon-7b,calibrate_True,2,0.41133333333333333,0.09817444790892496
trec,falcon-7b,calibrate_True,3,0.4146666666666667,0.09832372834446197
trec,falcon-7b,calibrate_True,4,0.428,0.10629518646988052
trec,falcon-7b,calibrate_True,5,0.45933333333333337,0.09181624160366303
trec,falcon-7b,direct_False,1,0.2866666666666667,0.05732558087121511
trec,falcon-7b,direct_False,2,0.322,0.09335237900914292
trec,falcon-7b,direct_False,3,0.3993333333333333,0.09338569959522115
trec,falcon-7b,direct_False,4,0.4406666666666667,0.08249983164965989
trec,falcon-7b,direct_False,5,0.36466666666666664,0.05564969801255788
trec,falcon-40b,channel_True,1,0.498,0.04667618950457142
trec,falcon-40b,channel_True,2,0.48333333333333334,0.048479090567194266
trec,falcon-40b,channel_True,3,0.488,0.03973243846867025
trec,falcon-40b,channel_True,4,0.508,0.025139610179953094
trec,falcon-40b,channel_True,5,0.5233333333333333,0.023570226039551608
trec,falcon-40b,direct_False,1,0.25266666666666665,0.07307226255943874
trec,falcon-40b,direct_False,2,0.3913333333333333,0.10043018581194711
trec,falcon-40b,direct_False,3,0.3993333333333333,0.07535397947170556
trec,falcon-40b,direct_False,4,0.4713333333333333,0.030214051182999094
trec,falcon-40b,direct_False,5,0.39200000000000007,0.058126299268632844
trec,falcon-40b,calibrate_True,1,0.4086666666666667,0.05709251750935104
trec,falcon-40b,calibrate_True,2,0.41333333333333333,0.06335788997608918
trec,falcon-40b,calibrate_True,3,0.43333333333333335,0.07047142841054252
trec,falcon-40b,calibrate_True,4,0.4633333333333334,0.04538232646698001
trec,falcon-40b,calibrate_True,5,0.4653333333333333,0.041063636251825325
trec,llama-2-13b-hf,calibrate_True,1,0.20333333333333334,0.054168461508725015
trec,llama-2-13b-hf,calibrate_True,2,0.4206666666666667,0.10666249991861662
trec,llama-2-13b-hf,calibrate_True,3,0.48,0.04492957452131801
trec,llama-2-13b-hf,calibrate_True,4,0.5286666666666666,0.07252279335185288
trec,llama-2-13b-hf,calibrate_True,5,0.594,0.03840138886377244
trec,llama-2-13b-hf,channel_True,1,0.322,0.06788225099390854
trec,llama-2-13b-hf,channel_True,2,0.36133333333333334,0.010370899457402705
trec,llama-2-13b-hf,channel_True,3,0.4086666666666667,0.009428090415820616
trec,llama-2-13b-hf,channel_True,4,0.412,0.005656854249492359
trec,llama-2-13b-hf,channel_True,5,0.4553333333333333,0.029227080289043965
trec,llama-2-13b-hf,direct_False,1,0.218,0.01999999999999999
trec,llama-2-13b-hf,direct_False,2,0.357,0.035
trec,llama-2-13b-hf,direct_False,3,0.353,0.0010000000000000009
trec,llama-2-13b-hf,direct_False,4,0.463,0.07500000000000001
trec,llama-2-13b-hf,direct_False,5,0.45000000000000007,0.10800000000000001
trec,llama-65b,direct_False,1,0.334,0.12727922061357858
trec,llama-65b,direct_False,2,0.4206666666666667,0.08391000470080363
trec,llama-65b,direct_False,3,0.4593333333333333,0.02357022603955158
trec,llama-65b,direct_False,4,0.482,0.07071067811865474
trec,llama-65b,direct_False,5,0.4146666666666667,0.046197643037521094
trec,llama-65b,calibrate_True,1,0.37266666666666665,0.06274463235121304
trec,llama-65b,calibrate_True,2,0.5246666666666666,0.06727720432822859
trec,llama-65b,calibrate_True,3,0.5606666666666666,0.05228979080300688
trec,llama-65b,calibrate_True,4,0.5693333333333334,0.048780688346471236
trec,llama-65b,calibrate_True,5,0.5346666666666666,0.05060522590492891
trec,llama-65b,channel_True,1,0.3253333333333333,0.06932692278056356
trec,llama-65b,channel_True,2,0.47,0.018547236990991398
trec,llama-65b,channel_True,3,0.492,0.046072406781789345
trec,llama-65b,channel_True,4,0.5033333333333333,0.03242769735204085
trec,llama-65b,channel_True,5,0.5553333333333333,0.015520595635763723
sst2,falcon-7b,direct_False,1,0.879204892966361,0.018921053013401454
