seed,model,dataset,n_shots,precision,batch_size,template_seed,prediction_method,selection_method,scores
59,llama-65b,dbpedia,4,fp16,16,13,direct_False,random,"[0.519, 0.562, 0.562, 0.559, 0.35, 0.534, 0.492, 0.564, 0.573, 0.566]"
59,llama-2-70b-hf,dbpedia,4,fp16,16,13,direct_False,random,"[0.585, 0.637, 0.637, 0.624, 0.592, 0.576, 0.584, 0.596, 0.565, 0.617]"
59,llama-65b,dbpedia,4,fp16,16,21,direct_False,random,"[0.564, 0.576, 0.244, 0.535, 0.396, 0.508, 0.078, 0.503, 0.492, 0.536]"
59,llama-2-70b-hf,dbpedia,4,fp16,16,21,direct_False,random,"[0.561, 0.615, 0.478, 0.584, 0.568, 0.6, 0.367, 0.543, 0.584, 0.58]"
59,llama-2-70b-hf,dbpedia,4,fp16,16,21,direct_False,implicitly_topic_models,"[0.503, 0.507, 0.354, 0.492, 0.449, 0.504, 0.471, 0.515, 0.514, 0.512]"
59,llama-2-70b-hf,dbpedia,4,fp16,16,13,direct_False,implicitly_topic_models,"[0.513, 0.518, 0.518, 0.534, 0.496, 0.476, 0.514, 0.492, 0.505, 0.523]"
59,opt-66b,dbpedia,4,fp16,8,13,direct_False,random,"[0.36, 0.36, 0.36, 0.354, 0.094, 0.349, 0.28, 0.337, 0.321, 0.35]"
59,opt-66b,dbpedia,4,fp16,8,21,direct_False,random,"[0.3, 0.333, 0.086, 0.311, 0.122, 0.282, 0.078, 0.176, 0.28, 0.357]"
59,llama-65b,agnews,4,fp16,16,13,direct_False,random,"[0.867, 0.842, 0.842, 0.851, 0.634, 0.884, 0.864, 0.864, 0.868, 0.877]"
59,falcon-40b,dbpedia,4,fp16,16,13,direct_False,random,"[0.539, 0.606, 0.606, 0.544, 0.578, 0.578, 0.575, 0.576, 0.587, 0.585]"
59,llama-65b,agnews,4,fp16,16,21,direct_False,random,"[0.864, 0.848, 0.806, 0.852, 0.814, 0.828, 0.559, 0.831, 0.864, 0.842]"
59,llama-2-70b-hf,agnews,4,fp16,16,13,direct_False,random,"[0.873, 0.872, 0.872, 0.848, 0.875, 0.895, 0.861, 0.89, 0.879, 0.89]"
59,llama-30b,dbpedia,4,fp16,32,13,direct_False,random,"[0.605, 0.651, 0.651, 0.661, 0.441, 0.533, 0.661, 0.57, 0.552, 0.641]"
59,llama-2-70b-hf,agnews,4,fp16,16,21,direct_False,random,"[0.882, 0.84, 0.784, 0.831, 0.704, 0.785, 0.784, 0.793, 0.861, 0.869]"
59,llama-30b,dbpedia,4,fp16,32,21,direct_False,random,"[0.554, 0.647, 0.355, 0.651, 0.51, 0.628, 0.068, 0.65, 0.661, 0.653]"
59,falcon-40b,dbpedia,4,fp16,16,21,direct_False,random,"[0.58, 0.565, 0.295, 0.562, 0.327, 0.529, 0.508, 0.569, 0.575, 0.568]"
59,opt-66b,agnews,4,fp16,8,13,direct_False,random,"[0.746, 0.765, 0.765, 0.754, 0.566, 0.71, 0.788, 0.799, 0.802, 0.774]"
59,opt-66b,agnews,4,fp16,8,21,direct_False,random,"[0.781, 0.842, 0.42, 0.816, 0.356, 0.82, 0.597, 0.616, 0.788, 0.761]"
